t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2023-10-18","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","61.4"
"2023-10-18","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","147.5"
"2023-10-17","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","18.4"
"2023-10-17","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","67.9"
"2023-10-17","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","198"
"2023-10-17","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","33"
"2023-10-16","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","15"
"2023-10-16","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","49.6"
"2023-10-16","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","196.8"
"2023-10-16","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","40"
"2023-10-15","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-15","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","48.8"
"2023-10-15","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","178.6"
"2023-10-13","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","33"
"2023-10-13","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","46.6"
"2023-10-13","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","160.9"
"2023-10-12","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","152.7"
"2023-10-12","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","57.4"
"2023-10-12","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","28"
"2023-10-11","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","211.2"
"2023-10-11","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","64.9"
"2023-10-11","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","30"
"2023-10-11","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","19.3"
"2023-10-10","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20.5"
"2023-10-10","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","10.8"
"2023-10-10","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","56.8"
"2023-10-10","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","202.8"
"2023-10-10","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","43"
"2023-10-09","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","10.4"
"2023-10-09","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","59.1"
"2023-10-09","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","45"
"2023-10-09","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","230.9"
"2023-10-08","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","171.4"
"2023-10-08","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","57"
"2023-10-08","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20.1"
"2023-10-08","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","38"
"2023-10-07","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20.1"
"2023-10-07","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","223.4"
"2023-10-07","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","38"
"2023-10-07","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","9"
"2023-10-07","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","74.9"
"2023-10-06","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","57.5"
"2023-10-06","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14"
