t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2021-08-07","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4000","3000"
"2021-08-06","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4000","3000"
"2021-08-06","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2000","1800"
"2021-08-05","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4000","3200"
"2021-08-05","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1000","2000","1500"
"2021-08-05","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2021-08-04","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-08-04","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2021-08-04","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4000","3000"
"2021-08-03","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3500","2500"
"2021-08-03","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1600","2200","1800"
"2021-08-03","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2021-08-02","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4500","3500"
"2021-08-02","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2000","1800"
"2021-08-01","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-08-01","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-07-31","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","3200"
"2021-07-31","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2021-07-30","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2000","1800"
"2021-07-30","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-30","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","3500","2800"
"2021-07-29","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","5000","4000"
"2021-07-29","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-28","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","3000","5000","4500"
"2021-07-28","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-28","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2021-07-27","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-07-27","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-26","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4000","3000"
"2021-07-26","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-25","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3000","2000"
"2021-07-25","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-07-24","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","3000","4000","3500"
"2021-07-24","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-24","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4800","3500"
"2021-07-23","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2500","4500","3000"
"2021-07-23","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","3000","5500","5000"
"2021-07-22","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5500","4000"
"2021-07-22","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-21","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2500","3000","2750"
"2021-07-21","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4000","3000"
"2021-07-21","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-20","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-20","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4200","3800"
"2021-07-19","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3000","2000"
"2021-07-19","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","4000","3500"
"2021-07-18","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4000","3000"
"2021-07-18","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2021-07-17","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2700"
"2021-07-17","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4000","3200"
"2021-07-16","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4500","3500"
"2021-07-16","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2021-07-15","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-15","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4000","3000"
"2021-07-14","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3000","2000"
"2021-07-14","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3500","2500"
"2021-07-13","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","3600","2500"
"2021-07-13","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","3000","3500","3200"
"2021-07-13","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2021-07-12","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2021-07-12","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","4000","3500"
"2021-07-12","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","3000","4000","3500"
"2021-07-11","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2021-07-11","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4000","3000"
"2021-07-10","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2500","4500","3000"
"2021-07-10","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","4200","3200"
"2021-07-08","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","3000","4000","3500"
"2021-07-08","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-07","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2021-07-07","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","5000","4000"
"2021-07-06","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","4000","4500","4200"
"2021-07-06","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2021-07-06","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","4000"
"2021-07-05","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","4000","5000","4500"
"2021-07-05","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","5500","4000"
"2021-07-05","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","4000","3000"
"2021-07-04","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","2000","4800","3800"
"2021-07-04","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","4000","3000"
"2021-07-03","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3800"
"2021-07-03","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3500","2500"
"2021-07-02","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","4500","3000"
"2021-07-01","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-06-30","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-06-30","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","3000","4000","3500"
"2021-06-30","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3000","2500"
"2021-06-29","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2500","4000","3250"
"2021-06-29","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3500","2000"
"2021-06-29","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1500","5000","3500"
"2021-06-28","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3000","2000"
